Title,Director,Year
La Passion de Jeanne d'Arc,Carl Theodor Dreyer,1927
The Thin Red Line,Terrence Malick,1998
Modern Times,Charlie Chaplin,1935
Der Blaue Engel,Josef von Sternberg,1929
-,Jean-Luc Godard,1963
Mr. Smith Goes to Washington,Frank Capra,1939
Twelve Angry Men,Sidney Lumet,1956
Dog Day Afternoon,Sidney Lumet,1975
Ninotchka,Ernst Lubitsch,1939
Casablanca,Michael Curtiz,1942
Metropolis,Fritz Lang,1925
The Red shoes,"Michael Powell, Emeric Pressburger",1947
Ladri di biciclette,Vittorio De Sica,1947
بيروت الغربيه,Ziad Doueiri,1997
ريح السد,Nouri Bouzid,1986
Freaks,Tod Browning,1932
Los Olvidados,Luis Buñuel,1950
Le Coiffeur du quartier des pauvres,Mohamed Reggab,1982
"Il Buono, il brutto, il cattivo",Sergio Leone,1966
Peeping Tom,Michael Powell,1959
Spartacus,Stanley Kubrick,1960
A Woman Under the Influence,John Cassavetes,1974
Goodfellas,Martin Scorsese,1989
Y aura-t-il de la neige à Noël ?,Sandrine Veysset,1995
The Rocky Horror Picture Show,Jim Sharman,1975
La Règle du jeu,Jean Renoir,1939
"Aguirre, der Zorn Gottes",Werner Herzog,1972
Jaws,Steven Spielberg,1974
Alien,Ridley Scott,1979
Loulou,Maurice Pialat,1979
The Elephant Man,David Lynch,1979
Thelma and Louise,Ridley Scott,1990
"Vincent, François, Paul et les autres",Claude Sautet,1974
Les Choses de la vie,Claude Sautet,1969
楢山節考,Shōhei Imamura,1983
Stranger Than Paradise,Jim Jarmusch,1983
Brazil,Terry Gilliam,1985
The Fly,David Cronenberg,1985
Зеркало,Andreï Tarkovski,1974
Full Metal Jacket-12,Stanley Kubrick,1986
Wechma,Hamid Bénani,1970
"Sex, Lies and Videotape",Steven Soderbergh,1988
Bad Lieutenant-16,Abel Ferrara,1992
The Silence of the Lambs,Jonathan Demme,1990
Unforgiven,Clint Eastwood,1992
Мать и сын,Alexandre Sokourov,1997
Seven-12,David Fincher,1995
Fargo-12,Joel Coen,1995
صمت القصور,Moufida Tlatli,1994
Beau travail,Claire Denis,1999
Magnolia,Paul Thomas Anderson,1999
もののけ姫,Hayao Miyazaki,1997
Hyènes,Djibril Diop Mambety,1992
Mystic River-12,Clint Eastwood,2003
올드보이,Park Chan-wook,2003
Gladiator,Ridley Scott,2000
Brokeback Mountain,Ang Lee,2005
千と千尋の神隠し,Hayao Miyazaki,2001
Man on the Moon,Miloš Forman,1999
We Own the Night,James Gray,2007
Charlie and the Chocolate Factory,Tim Burton,2005
There Will Be Blood,Paul Thomas Anderson,2007
The New World,Terrence Malick,2005
