Title,Director,Year
Dr Jekyll and Mr Hyde,Rouben Mamoulian,1931
La Poison,Sacha Guitry,1951
Gueule d'amour,Jean Grémillon,1937
La Tête d'un homme,Julien Duvivier,1932
La Belle équipe,Julien Duvivier,1936
Le Salaire de la peur,Henri-Georges Clouzot,1951
Charlot - The Essanay Comedies - Programme 1,Charlie Chaplin,1915-1916
Charlot - The Essanay Comedies - Programme 2,Charlie Chaplin,1915-1916
Charlot - The Essanay Comedies - Programme 3,Charlie Chaplin,1915-1916
Charlot - The Keystone Comedies - Programme 1,Charlie Chaplin,1914
Charlot - The Keystone Comedies - Programme 2,Charlie Chaplin,1914
Charlot - The Keystone Comedies - Programme 3,Charlie Chaplin,1914
Charlot - The Keystone Comedies - Programme 4,Charlie Chaplin,1914
Charlot - The Mutual Comedies - Programme 1,Charlie Chaplin,1916-1917
Charlot - The Mutual Comedies - Programme 2,Charlie Chaplin,1916-1917
Charlot - The Mutual Comedies - Programme 3,Charlie Chaplin,1916-1917
Sherlock Junior,Buster Keaton,1924
Les Films des Frères Lumière,"Auguste Lumière, Louis Lumière",1895
Tabu,Friedrich Wilhelm Murnau,1929
Die Büchse der Pandora,Georg Wilhelm Pabst,1929
Das Testament des Dr. Mabuse,Fritz Lang,1932
Gold Diggers of 1933,Mervyn LeRoy,1933
Fat City,John Huston,1971
Jeder für sich und Gott gegen alle,Werner Herzog,1974
Der Tod der Maria Malibran,Werner Schroeter,1971
Hitler - ein Film aus Deutschland,Hans-Jürgen Syberberg,1977
Im Lauf der Zeit,Wim Wenders,1975
The Big Combo,Joseph H. Lewis,1955
Invasion of the Body Snatchers,Don Siegel,1956
Night of the Demon,Jacques Tourneur,1957
The River's Edge,Allan Dwan,1957
Journal d'un curé de campagne,Robert Bresson,1950
Mouchette,Robert Bresson,1966
Sylvia Scarlett,George Cukor,1935
The Philadelphia Story,George Cukor,1940
Une sale histoire,Jean Eustache,1977
Leaving Las Vegas-12,Mike Figgis,1995
"南國再見,南國",Hou Hsiao-Hsien,1996
春光乍洩,Wong Kar-Wai,1996
站台,Jia Zhang-Ke,2000
豚と軍艦,Shōhei Imamura,1961
The Go-Between,Joseph Losey,1970
The Haunting,Robert Wise,1963
Carne-16,Gaspar Noé,1991
Sombre-16,Philippe Grandrieux,1998
71 Fragmente einer Chronologie des Zufalls,Michael Haneke,1993
Pink Narcissus-16,James Bidgood,1971
Dawn of the Dead,George A. Romero,1978
Duel,Steven Spielberg,1971
The Lady Eve,Preston Sturges,1941
It Happened One Night,Frank Capra,1934
His Girl Friday,Howard Hawks,1939
The Awful Truth,Leo McCarey,1937
Que la bête meure,Claude Chabrol,1969
Blood Simple-12,Joel Coen,1984
Entr'acte,René Clair,1924
Predator,John McTiernan,1986
The Straight Story,David Lynch,1999
Scarecrow,Jerry Schatzberg,1972
Puzzle of a Downfall Child,Jerry Schatzberg,1970
Les Aventures de Rabbi Jacob,Gérard Oury,1973
