Title,Director,Year
Broken Blossoms,David Wark Griffith,1919
Броненосец «Потёмкин»,Sergueï Eisenstein,1925
Lady Windermere's Fan,Ernst Lubitsch,1925
The Unholy Three,Tod Browning,1925
Tabu,Friedrich Wilhelm Murnau,1929
Liebelei,Max Ophüls,1933
Monsieur Verdoux,Charlie Chaplin,1946
The Mortal Storm,Frank Borzage,1940
Red River,Howard Hawks,1946
夜の女たち,Kenji Mizoguchi,1948
Susana,Luis Buñuel,1950
On Dangerous Ground,Nicholas Ray,1951
The Naked spur,Anthony Mann,1952
The Saga of Anatahan,Josef von Sternberg,1953
Senso,Luchino Visconti,1953
Viaggio in Italia,Roberto Rossellini,1953
L'Angelo bianco,Raffaello Matarazzo,1955
All That Heaven Allows,Douglas Sirk,1955
Moonfleet,Fritz Lang,1954
The Night of the Hunter,Charles Laughton,1954
The Searchers,John Ford,1955
Поэма о море,Ioulia Solntseva,1958
お早う,Yasujirō Ozu,1959
Ride Lonesome,Budd Boetticher,1959
Home from the Hill,Vincente Minnelli,1960
Wild River,Elia Kazan,1959
Vivre sa vie,Jean-Luc Godard,1962
Os Verdes Anos,Paulo Rocha,1963
Who's Minding the Store ?,Frank Tashlin,1963
Gertrud,Carl Theodor Dreyer,1964
Les Parapluies de Cherbourg,Jacques Demy,1963
Marnie,Alfred Hitchcock,1954
My Hustler,Andy Warhol & Chuck Wein,1965
"Pajarito Gómez, una vida feliz",Rodolfo Kuhn,1965
Uccellacci e uccellini,Pier Paolo Pasolini,1966
Les yeux ne veulent pas en tout temps se fermer ou Peut-être qu'un jour Rome se permettra de choisir à son tour,"Jean-Marie Straub, Danièle Huillet",1969
Wanda,Barbara Loden,1970
Pink Narcissus-16,James Bidgood,1971
Trafic,Jacques Tati,1970
Angst essen Seele auf,Rainer Werner Fassbinder,1974
Rabid,David Cronenberg,1976
Amor de perdição,Manoel de Oliveira,1978
Gloria,John Cassavetes,1980
Dina e Django,Solveig Nordlund,1981
Le Pont du nord,Jacques Rivette,1980
L'Argent,Robert Bresson,1982
Höhenfeuer,Fredi M. Murer,1985
青少年哪吒,Tsai Ming-liang,1992
London,Patrick Keiller,1994
L'Arrière-pays,Jacques Nolot,1997
One Week,"Buster Keaton, Edward Cline",1920
Zéro de conduite,Jean Vigo,1933
Un chant d'amour-16,Jean Genet,1950
Scorpio Rising-16,Kenneth Anger,1964
Jaime,Antonio Reis,1974
The Yards,James Gray,2000
Hable con ella,Pedro Almodóvar,2001
สุดเสน่หา,Apichatpong Weerasethakul,2002
Los Angeles Plays Itself,Thom Andersen,2003
PTU,Johnnie To,2003
